"SUID","cooc_method","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"2199","dist_kullbackleibler",,"copresence","OTU-EUK644->otu97","1","0.77568625","dist_kullbackleibler=copresence","dist_kullbackleibler=7.993605777301127E-15","dist_kullbackleibler=0.77568625","OTU-EUK644->otu97","4.921452618029998","4.782176935","2.109659055534806","0.77568625","1.0491607582707729E-13","1.0491607582707729E-13","8.567195865770849E-13","0.7066458098591558","0.6694283249999999","988.0","0.30119664881535957","false",,"OTU-EUK644->otu97","8.567195865770849E-13"
"2200","dist_kullbackleibler",,"mutualExclusion","otu118->OTU-EUK725","1","22.56909892","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=7.713608085602175E-9","dist_kullbackleibler=22.56909892","otu118->OTU-EUK725","","","","22.56909892","6.804435923601915E-7","6.804435923601915E-7","3.832676654250001E-6","-100.0","-100.0","-306.0","-100.0","false",,"otu118->OTU-EUK725","3.832676654250001E-6"
"2201","correl_spearman",,"mutualExclusion","otu1430->OTU-EUK283","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=4.2081634843427196E-9","correl_spearman=-0.90050042","otu1430->OTU-EUK283","","","","-0.90050042","3.5164211142912905E-7","3.5164211142912905E-7","2.1609090896616214E-6","-100.0","-100.0","-32.0","-100.0","false",,"otu1430->OTU-EUK283","2.1609090896616214E-6"
"2202","dist_kullbackleibler",,"mutualExclusion","otu566->OTU-EUK373","1","20.95144738","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=1.640366450617048E-5","dist_kullbackleibler=20.95144738","otu566->OTU-EUK373","","","","20.95144738","0.0018065244189291452","0.0018065244189291452","0.007027321526060947","-100.0","-100.0","-480.0","-100.0","false",,"otu566->OTU-EUK373","0.007027321526060947"
"2203","dist_bray",,"mutualExclusion","otu2395->OTU-EUK306","1","0.99955965","dist_bray=mutualExclusion","dist_bray=0.0","dist_bray=0.99955965","otu2395->OTU-EUK306","","","","0.99955965","0.0","0.0","0.0","-100.0","-100.0","-400.0","-100.0","false",,"otu2395->OTU-EUK306","0.0"
"2205","dist_kullbackleibler",,"copresence","otu1023->OTU-EUK103","1","0.88313557","dist_kullbackleibler=copresence","dist_kullbackleibler=1.1094236640474264E-11","dist_kullbackleibler=0.88313557","otu1023->OTU-EUK103","4.109011070460002","4.10419697","1.6491014377443278","0.88313557","4.593412317177581E-10","4.593412317177581E-10","3.4812620461837657E-9","0.7549254001564127","0.74902904","918.0","0.25129638864140114","false",,"otu1023->OTU-EUK103","3.4812620461837657E-9"
"2206","dist_bray|dist_kullbackleibler",,"copresence","otu2606->OTU-EUK426","2","0.23731015|0.81830484","dist_bray=copresence|dist_kullbackleibler=copresence","dist_bray=0.1550796476174503|dist_kullbackleibler=3.0714651211294353E-6","dist_bray=0.23731015|dist_kullbackleibler=0.81830484","otu2606->OTU-EUK426","0.5284682599899996","0.5378512","0.10342281280883825","0.23731015","5.379035042396563E-5","5.379035042396563E-5","2.565714333714551E-4","0.2250522504402513|0.7532353908909863","0.23049699499999998|0.67919141","908.0|908.0","0.0893801103593108|0.5138769097807319","false",,"otu2606->OTU-EUK426","2.565714333714551E-4"
"2207","dist_bray",,"mutualExclusion","otu2403->OTU-EUK306","1","0.99955965","dist_bray=mutualExclusion","dist_bray=0.0","dist_bray=0.99955965","otu2403->OTU-EUK306","","","","0.99955965","0.0","0.0","0.0","-100.0","-100.0","-400.0","-100.0","false",,"otu2403->OTU-EUK306","0.0"
"2208","dist_kullbackleibler",,"mutualExclusion","otu194->OTU-EUK335","1","20.94355478","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=7.072120025597428E-6","dist_kullbackleibler=20.94355478","otu194->OTU-EUK335","","","","20.94355478","8.044787431830125E-4","8.044787431830125E-4","0.003275689191415925","-100.0","-100.0","-424.0","-100.0","false",,"otu194->OTU-EUK335","0.003275689191415925"
"2209","correl_spearman",,"mutualExclusion","OTU-EUK283->otu2403","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=5.259661817191841E-9","correl_spearman=-0.90050042","OTU-EUK283->otu2403","","","","-0.90050042","4.485612672411321E-7","4.485612672411321E-7","2.6638865771928892E-6","-100.0","-100.0","-32.0","-100.0","false",,"OTU-EUK283->otu2403","2.6638865771928892E-6"
"2210","correl_spearman",,"mutualExclusion","OTU-EUK1129->otu617","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=6.993815626743505E-6","correl_spearman=-0.90050042","OTU-EUK1129->otu617","","","","-0.90050042","7.958126042028058E-4","7.958126042028058E-4","0.003242599153395839","-100.0","-100.0","-84.0","-100.0","false",,"OTU-EUK1129->otu617","0.003242599153395839"
"2211","dist_kullbackleibler|correl_spearman",,"copresence","OTU-EUK339->otu771","2","0.68580239|0.93103448","dist_kullbackleibler=copresence|correl_spearman=copresence","dist_kullbackleibler=0.0|correl_spearman=0.004535452526359562","dist_kullbackleibler=0.68580239|correl_spearman=0.93103448","OTU-EUK339->otu771","10.670768208279997","10.565092374999999","3.880888331341474","0.68580239","0.0","0.0","0.0","0.5585974163608085|0.864564447931571","0.52884131|0.88811189","286.0|286.0","0.26591432765506023|0.1112667236083194","false",,"OTU-EUK339->otu771","0.0"
"2213","correl_spearman",,"mutualExclusion","OTU-EUK476->otu191","1","-0.95586852","correl_spearman=mutualExclusion","correl_spearman=2.4893222816402272E-8","correl_spearman=-0.95586852","OTU-EUK476->otu191","0.00113944597","0.01266051","0.3343042189485468","-0.95586852","2.4102316270591118E-6","2.4102316270591118E-6","1.2673221416120089E-5","-0.9538739094736843","-0.95885096","558.0","0.03068285827068499","false",,"OTU-EUK476->otu191","1.2673221416120089E-5"
"2214","correl_spearman",,"mutualExclusion","OTU-EUK283->otu1312","1","-0.90050042","correl_spearman=mutualExclusion","correl_spearman=7.356147024850657E-9","correl_spearman=-0.90050042","OTU-EUK283->otu1312","","","","-0.90050042","6.462555484088028E-7","6.462555484088028E-7","3.660693539997083E-6","-100.0","-100.0","-32.0","-100.0","false",,"OTU-EUK283->otu1312","3.660693539997083E-6"
"2215","correl_spearman|dist_kullbackleibler",,"copresence","OTU-EUK116->otu1182","2","0.91417925|0.94523655","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.011110408358889212|dist_kullbackleibler=3.552713678800501E-15","correl_spearman=0.91417925|dist_kullbackleibler=0.94523655","OTU-EUK116->otu1182","0.013031655699999985","0.01840629","0.33133604300648306","0.91417925","2.220446049250313E-16","2.220446049250313E-16","1.9228934806908332E-15","0.8695902717423446|0.822065799112989","0.91486747|0.79156434","894.0|894.0","0.1403280244375526|0.31830797069226174","false",,"OTU-EUK116->otu1182","1.9228934806908332E-15"
"2217","dist_kullbackleibler|correl_spearman",,"copresence","otu5762->OTU-EUK260","2","0.90540228|1.0","dist_kullbackleibler=copresence|correl_spearman=copresence","dist_kullbackleibler=0.0|correl_spearman=6.180920941734058E-8","dist_kullbackleibler=0.90540228|correl_spearman=1.0","otu5762->OTU-EUK260","10.363529442089984","10.212195105","3.617094326149479","0.90540228","0.0","0.0","0.0","0.8214474959409015|0.9927475175427681","0.83091509|1.0","286.0|286.0","0.37552003784943294|0.03516562976950776","false",,"otu5762->OTU-EUK260","0.0"
